,Dataset,Input Size,Type,Classifier,Formated Results,Area Under Curve
9,Task 2 (50% Noise),4096,Vanilla AE (0.50 Masked),SVC,"1.0000 (1.0000, 1.0000)",1.0
10,Task 2 (50% Noise),4096,Vanilla AE (0.50 Masked),LogisticRegression,"0.8571 (1.0000, 0.7500)",0.875
11,Task 2 (50% Noise),4096,Vanilla AE (0.50 Masked),RandomForestClassifier,"0.8571 (1.0000, 0.7500)",0.8125
12,Task 2 (50% Noise),4096,Vanilla AE (0.50 Masked),GradientBoostingClassifier,"0.8036 (0.8750, 0.8000)",0.8
13,Task 2 (50% Noise),4096,Vanilla AE (0.50 Masked),XGBClassifier,"0.8036 (0.8750, 0.8000)",0.7444444444444445
14,Task 2 (50% Noise),4096,Vanilla AE (0.50 Masked),GMM,"0.8000 (0.6667, 1.0000)",0.5
15,Task 2 (50% Noise),4096,Vanilla AE (0.50 Masked),KNeighborsClassifier,"0.8000 (0.6667, 1.0000)",0.5
16,Task 2 (50% Noise),4096,Vanilla AE (0.50 Masked),HBOS,"0.4286 (0.4667, 0.5133)",0.39
17,Task 2 (50% Noise),4096,Vanilla AE (0.50 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5
18,Task 2 (50% Noise),4096,Vanilla AE (0.50 Masked),COPOD,"0.0000 (0.0000, 0.0000)",0.2708333333333333
19,Task 2 (50% Noise),4096,Vanilla AE (0.50 Masked),ExtraTreesClassifier,"0.0000 (0.0000, 0.0000)",
20,Task 2 (50% Noise),4096,Vanilla AE (0.25 Masked),SVC,"1.0000 (1.0000, 1.0000)",1.0
21,Task 2 (50% Noise),4096,Vanilla AE (0.25 Masked),GMM,"0.8000 (0.6667, 1.0000)",0.5
22,Task 2 (50% Noise),4096,Vanilla AE (0.25 Masked),LogisticRegression,"0.8000 (0.6667, 1.0000)",0.5
23,Task 2 (50% Noise),4096,Vanilla AE (0.25 Masked),XGBClassifier,"0.7790 (0.7433, 0.8600)",0.5805555555555555
24,Task 2 (50% Noise),4096,Vanilla AE (0.25 Masked),GradientBoostingClassifier,"0.7487 (0.7667, 0.7500)",0.625
25,Task 2 (50% Noise),4096,Vanilla AE (0.25 Masked),KNeighborsClassifier,"0.7352 (0.6000, 1.0000)",0.5
26,Task 2 (50% Noise),4096,Vanilla AE (0.25 Masked),HBOS,"0.6667 (0.5000, 1.0000)",0.5
27,Task 2 (50% Noise),4096,Vanilla AE (0.25 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5
28,Task 2 (50% Noise),4096,Vanilla AE (0.25 Masked),COPOD,"0.0000 (0.0000, 0.0000)",0.5
29,Task 2 (50% Noise),4096,Vanilla AE,COPOD,"1.0000 (1.0000, 1.0000)",1.0
30,Task 2 (50% Noise),4096,Vanilla AE,ExtraTreesClassifier,"1.0000 (1.0000, 1.0000)",1.0
31,Task 2 (50% Noise),4096,Vanilla AE,GradientBoostingClassifier,"1.0000 (1.0000, 1.0000)",1.0
32,Task 2 (50% Noise),4096,Vanilla AE,LogisticRegression,"1.0000 (1.0000, 1.0000)",1.0
33,Task 2 (50% Noise),4096,Vanilla AE,XGBClassifier,"1.0000 (1.0000, 1.0000)",1.0
34,Task 2 (50% Noise),4096,Vanilla AE,GMM,"0.8889 (0.8000, 1.0000)",0.75
35,Task 2 (50% Noise),4096,Vanilla AE,KNeighborsClassifier,"0.5933 (1.0000, 0.4400)",0.72
36,Task 2 (50% Noise),4096,Vanilla AE,HBOS,"0.5714 (0.5500, 0.6000)",0.7666666666666667
37,Task 2 (50% Noise),4096,Vanilla AE,ABOD,"0.0000 (0.0000, 0.0000)",0.5
38,Task 2 (50% Noise),4096,Adversarial AE (0.75 Masked),SVC,"1.0000 (1.0000, 1.0000)",1.0
39,Task 2 (50% Noise),4096,Adversarial AE (0.75 Masked),XGBClassifier,"0.8256 (0.7767, 0.9100)",0.625
40,Task 2 (50% Noise),4096,Adversarial AE (0.75 Masked),GradientBoostingClassifier,"0.8243 (0.8300, 0.8600)",0.758888888888889
41,Task 2 (50% Noise),4096,Adversarial AE (0.75 Masked),GMM,"0.8218 (0.7000, 1.0000)",0.5
42,Task 2 (50% Noise),4096,Adversarial AE (0.75 Masked),LogisticRegression,"0.8129 (0.7133, 0.9500)",0.7
43,Task 2 (50% Noise),4096,Adversarial AE (0.75 Masked),KNeighborsClassifier,"0.8085 (0.7000, 1.0000)",0.5
44,Task 2 (50% Noise),4096,Adversarial AE (0.75 Masked),HBOS,"0.4667 (0.4267, 0.5833)",0.375
45,Task 2 (50% Noise),4096,Adversarial AE (0.75 Masked),COPOD,"0.0667 (0.1000, 0.0500)",0.425
46,Task 2 (50% Noise),4096,Adversarial AE (0.75 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5
47,Task 2 (50% Noise),4096,Adversarial AE (0.50 Masked),SVC,"1.0000 (1.0000, 1.0000)",1.0
48,Task 2 (50% Noise),4096,Adversarial AE (0.50 Masked),GradientBoostingClassifier,"0.8889 (0.8000, 1.0000)",0.875
49,Task 2 (50% Noise),4096,Adversarial AE (0.50 Masked),GMM,"0.8000 (0.6667, 1.0000)",0.5
50,Task 2 (50% Noise),4096,Adversarial AE (0.50 Masked),KNeighborsClassifier,"0.8000 (0.6667, 1.0000)",0.5
51,Task 2 (50% Noise),4096,Adversarial AE (0.50 Masked),XGBClassifier,"0.7500 (0.7500, 0.7500)",0.625
52,Task 2 (50% Noise),4096,Adversarial AE (0.50 Masked),ExtraTreesClassifier,"0.7500 (0.6000, 1.0000)",0.888888888888889
53,Task 2 (50% Noise),4096,Adversarial AE (0.50 Masked),RandomForestClassifier,"0.7500 (0.6000, 1.0000)",0.7777777777777778
54,Task 2 (50% Noise),4096,Adversarial AE (0.50 Masked),LogisticRegression,"0.7296 (0.6000, 1.0000)",0.5833333333333334
55,Task 2 (50% Noise),4096,Adversarial AE (0.50 Masked),HBOS,"0.6667 (0.5000, 1.0000)",0.5
56,Task 2 (50% Noise),4096,Adversarial AE (0.50 Masked),COPOD,"0.1000 (0.2000, 0.0667)",0.5333333333333333
57,Task 2 (50% Noise),4096,Adversarial AE (0.50 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5
58,Task 2 (50% Noise),4096,Adversarial AE (0.25 Masked),SVC,"1.0000 (1.0000, 1.0000)",1.0
59,Task 2 (50% Noise),4096,Adversarial AE (0.25 Masked),GMM,"0.8283 (0.7222, 1.0000)",0.5
60,Task 2 (50% Noise),4096,Adversarial AE (0.25 Masked),KNeighborsClassifier,"0.8000 (0.6667, 1.0000)",0.5
61,Task 2 (50% Noise),4096,Adversarial AE (0.25 Masked),LogisticRegression,"0.7863 (0.7067, 0.9100)",0.5283333333333333
62,Task 2 (50% Noise),4096,Adversarial AE (0.25 Masked),XGBClassifier,"0.7722 (0.7500, 0.8300)",0.6977777777777778
63,Task 2 (50% Noise),4096,Adversarial AE (0.25 Masked),GradientBoostingClassifier,"0.7092 (0.7667, 0.6767)",0.7683333333333333
64,Task 2 (50% Noise),4096,Adversarial AE (0.25 Masked),HBOS,"0.4238 (0.4000, 0.5233)",0.3616666666666667
65,Task 2 (50% Noise),4096,Adversarial AE (0.25 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5
66,Task 2 (50% Noise),4096,Adversarial AE (0.25 Masked),COPOD,"0.0000 (0.0000, 0.0000)",0.5
67,Task 2 (50% Noise),4096,Adversarial AE,COPOD,"1.0000 (1.0000, 1.0000)",1.0
68,Task 2 (50% Noise),4096,Adversarial AE,ExtraTreesClassifier,"1.0000 (1.0000, 1.0000)",1.0
69,Task 2 (50% Noise),4096,Adversarial AE,GradientBoostingClassifier,"1.0000 (1.0000, 1.0000)",1.0
70,Task 2 (50% Noise),4096,Adversarial AE,HBOS,"1.0000 (1.0000, 1.0000)",1.0
71,Task 2 (50% Noise),4096,Adversarial AE,LogisticRegression,"1.0000 (1.0000, 1.0000)",1.0
72,Task 2 (50% Noise),4096,Adversarial AE,XGBClassifier,"1.0000 (1.0000, 1.0000)",1.0
73,Task 2 (50% Noise),4096,Adversarial AE,KNeighborsClassifier,"0.9714 (0.9500, 1.0000)",0.9666666666666666
74,Task 2 (50% Noise),4096,Adversarial AE,GMM,"0.8571 (0.7500, 1.0000)",0.8333333333333334
75,Task 2 (50% Noise),4096,Adversarial AE,ABOD,"0.0000 (0.0000, 0.0000)",0.5
0,Task 2 (25% Noise),4096,Vanilla AE (0.75 Masked),SVC,"1.0000 (1.0000, 1.0000)",1.0
1,Task 2 (25% Noise),4096,Vanilla AE (0.75 Masked),GMM,"0.9091 (0.8333, 1.0000)",0.5
2,Task 2 (25% Noise),4096,Vanilla AE (0.75 Masked),KNeighborsClassifier,"0.9091 (0.8333, 1.0000)",0.5
3,Task 2 (25% Noise),4096,Vanilla AE (0.75 Masked),GradientBoostingClassifier,"0.8889 (1.0000, 0.8000)",1.0
4,Task 2 (25% Noise),4096,Vanilla AE (0.75 Masked),LogisticRegression,"0.8000 (0.6667, 1.0000)",1.0
5,Task 2 (25% Noise),4096,Vanilla AE (0.75 Masked),XGBClassifier,"0.7811 (0.7133, 0.9200)",0.5155555555555555
6,Task 2 (25% Noise),4096,Vanilla AE (0.75 Masked),HBOS,"0.6667 (0.7500, 0.6000)",0.3
7,Task 2 (25% Noise),4096,Vanilla AE (0.75 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5
8,Task 2 (25% Noise),4096,Vanilla AE (0.75 Masked),COPOD,"0.0000 (0.0000, 0.0000)",0.3333333333333333
9,Task 2 (25% Noise),4096,Vanilla AE (0.50 Masked),RandomForestClassifier,"1.0000 (1.0000, 1.0000)",1.0
10,Task 2 (25% Noise),4096,Vanilla AE (0.50 Masked),SVC,"1.0000 (1.0000, 1.0000)",1.0
