Dataset,Input Size,Type,Classifier,Precision,Recall,F1-Score,Area Under Curve,Precision Standard Deviation,Recall Standard Deviation,F1-Score Standard Deviation,Area Under Curve Standard Deviation,Autoencoders,AE Count,Formated Results
Task 3,12288,Vanilla AE (0.50 Masked),ReconstructionThreshold_2.00,0.7210035842293907,0.3673162393162393,0.4346544687063963,,0.21573750326526345,0.23702857753916273,0.203251199227149,,20240220211339:20240220211547:20240220211805:20240220212014:20240221003612,5,"0.4347 (0.7210, 0.3673)"
Task 3,12288,Vanilla AE (0.50 Masked),KNeighborsClassifier,0.5833333333333333,0.3869047619047619,0.43333333333333335,0.6434523809523809,0.5,0.30140449764695626,0.3431876713662333,0.17726106527032662,20240221033808:20240221034022:20240221034232:20240221034445,4,"0.4333 (0.5833, 0.3869)"
Task 3,12288,Vanilla AE (0.50 Masked),XGBClassifier,0.4766666666666667,0.41666666666666663,0.42101010101010095,0.5995798319327731,0.16397831834998458,0.16666666666666669,0.10823268852721908,0.048684327578546516,20240220211339:20240220211547:20240220211805:20240220212014:20240221003612,5,"0.4210 (0.4767, 0.4167)"
Task 3,12288,Vanilla AE (0.50 Masked),COPOD,0.5833333333333334,0.2619047619047619,0.3481481481481481,0.6198412698412699,0.5204164998665332,0.25084889887744616,0.31137554899235115,0.11015175404469604,20240220085522:20240220085805:20240220090052,3,"0.3481 (0.5833, 0.2619)"
Task 3,12288,Vanilla AE (0.50 Masked),LogisticRegression,0.5233333333333333,0.29238095238095235,0.34119658119658125,0.5836519036519036,0.3373919580152042,0.13758526525547532,0.1308368072979128,0.1836067519468089,20240220113741:20240220114034:20240220114328:20240220114621:20240220114914,5,"0.3412 (0.5233, 0.2924)"
Task 3,12288,Vanilla AE (0.50 Masked),ReconstructionThreshold_2.20,0.6700378396972824,0.25979487179487176,0.3344260337363786,,0.2686662992883447,0.22837253410666367,0.255330296201693,,20240220211339:20240220211547:20240220211805:20240220212014:20240221003612,5,"0.3344 (0.6700, 0.2598)"
Task 3,12288,Vanilla AE (0.50 Masked),ReconstructionThreshold_2.40,0.3833333333333333,0.22037037037037036,0.27976190476190477,,0.4501028689006465,0.25662684742696307,0.3266767317621963,,20240221171049:20240221171301:20240221171513:20240221171722,4,"0.2798 (0.3833, 0.2204)"
Task 3,12288,Vanilla AE (0.50 Masked),ReconstructionThreshold_2.60,0.35119047619047616,0.13259259259259257,0.1907051282051282,,0.41937892747163186,0.17554774166076526,0.24495652313186528,,20240221171049:20240221171301:20240221171513:20240221171722,4,"0.1907 (0.3512, 0.1326)"
Task 3,12288,Vanilla AE (0.50 Masked),HBOS,0.125,0.15,0.13636363636363635,0.5464285714285714,0.25,0.3,0.2727272727272727,0.11276895288462103,20240221171049:20240221171301:20240221171513:20240221171722,4,"0.1364 (0.1250, 0.1500)"
Task 3,12288,Vanilla AE (0.50 Masked),ReconstructionThreshold_2.80,0.375,0.08407407407407406,0.13280423280423276,,0.47871355387816905,0.14273249510097671,0.2190271697634661,,20240221171049:20240221171301:20240221171513:20240221171722,4,"0.1328 (0.3750, 0.0841)"
